FGEOID,GEOID,NAME,NAMELSAD,GEOID_FILE,Memory Usage (GB)
0500000US40003,40003,Alfalfa,Alfalfa County,"0500000US40003.graphml",0.07033651200000002
0500000US48119,48119,Delta,Delta County,"0500000US48119.graphml",0.022302719999999998
0500000US47169,47169,Trousdale,Trousdale County,"0500000US47169.graphml",0.010588159999999985
0500000US21193,21193,Perry,Perry County,"0500000US21193.graphml",0.055681023999999996
0500000US46039,46039,Deuel,Deuel County,"0500000US46039.graphml",0.02405990400000002
0500000US41029,41029,Jackson,Jackson County,"0500000US41029.graphml",0.19458867200000002
0500000US72067,72067,Hormigueros,Hormigueros Municipio,"0500000US72067.graphml",0.014901248000000006
0500000US48507,48507,Zavala,Zavala County,"0500000US48507.graphml",0.061739007999999984
0500000US31007,31007,Banner,Banner County,"0500000US31007.graphml",0.006045695999999989
0500000US19121,19121,Madison,Madison County,"0500000US19121.graphml",0.037216256
0500000US12011,12011,Broward,Broward County,"0500000US12011.graphml",0.8501166080000001
0500000US13279,13279,Toombs,Toombs County,"0500000US13279.graphml",0.045432832000000006
0500000US26151,26151,Sanilac,Sanilac County,"0500000US26151.graphml",0.06251315199999999
0500000US48397,48397,Rockwall,Rockwall County,"0500000US48397.graphml",0.090759168
0500000US26163,26163,Wayne,Wayne County,"0500000US26163.graphml",1.1895111680000001
0500000US27105,27105,Nobles,Nobles County,"0500000US27105.graphml",0.04550656
0500000US27001,27001,Aitkin,Aitkin County,"0500000US27001.graphml",0.025653248000000017
0500000US38071,38071,Ramsey,Ramsey County,"0500000US38071.graphml",0.033148927999999994
0500000US37145,37145,Person,Person County,"0500000US37145.graphml",0.054988800000000004
0500000US20195,20195,Trego,Trego County,"0500000US20195.graphml",0.03357491200000001
0500000US28151,28151,Washington,Washington County,"0500000US28151.graphml",0.082444288
0500000US48133,48133,Eastland,Eastland County,"0500000US48133.graphml",0.05855231999999999
0500000US28055,28055,Issaquena,Issaquena County,"0500000US28055.graphml",0.006770688000000025
0500000US48123,48123,DeWitt,DeWitt County,"0500000US48123.graphml",0.08082636800000001
0500000US48005,48005,Angelina,Angelina County,"0500000US48005.graphml",0.09724313600000001
0500000US45081,45081,Saluda,Saluda County,"0500000US45081.graphml",0.040673280000000006
0500000US29125,29125,Maries,Maries County,"0500000US29125.graphml",0.029339648000000024
0500000US05001,05001,Arkansas,Arkansas County,"0500000US05001.graphml",0.06549913599999999
0500000US29109,29109,Lawrence,Lawrence County,"0500000US29109.graphml",0.068268032
0500000US51540,51540,Charlottesville,Charlottesville city,"0500000US51540.graphml",0.03275161599999998
0500000US17011,17011,Bureau,Bureau County,"0500000US17011.graphml",0.074010624
0500000US39145,39145,Scioto,Scioto County,"0500000US39145.graphml",0.087621632
0500000US37115,37115,Madison,Madison County,"0500000US37115.graphml",0.027783168000000025
0500000US16053,16053,Jerome,Jerome County,"0500000US16053.graphml",0.078934016
0500000US39163,39163,Vinton,Vinton County,"0500000US39163.graphml",0.024252416
0500000US48309,48309,McLennan,McLennan County,"0500000US48309.graphml",0.262311936
0500000US16037,16037,Custer,Custer County,"0500000US16037.graphml",0.037036031999999997
0500000US19089,19089,Howard,Howard County,"0500000US19089.graphml",0.025669631999999998
0500000US12099,12099,Palm Beach,Palm Beach County,"0500000US12099.graphml",0.801202176
0500000US13181,13181,Lincoln,Lincoln County,"0500000US13181.graphml",0.022745087999999997
0500000US01013,01013,Butler,Butler County,"0500000US01013.graphml",0.04955340799999999
0500000US47165,47165,Sumner,Sumner County,"0500000US47165.graphml",0.15641395200000002
0500000US51097,51097,King and Queen,King and Queen County,"0500000US51097.graphml",0.039698432000000006
0500000US05015,05015,Carroll,Carroll County,"0500000US05015.graphml",0.05670912
0500000US51820,51820,Waynesboro,Waynesboro city,"0500000US51820.graphml",0.022847488
0500000US02220,02220,Sitka,Sitka City and Borough,"0500000US02220.graphml",0.00966655999999999
0500000US41051,41051,Multnomah,Multnomah County,"0500000US41051.graphml",0.561401856
0500000US47061,47061,Grundy,Grundy County,"0500000US47061.graphml",0.029732863999999998
0500000US27057,27057,Hubbard,Hubbard County,"0500000US27057.graphml",0.050950144
0500000US38081,38081,Sargent,Sargent County,"0500000US38081.graphml",0.02085683200000002
0500000US36089,36089,St. Lawrence,St. Lawrence County,"0500000US36089.graphml",0.13484441599999997
0500000US29179,29179,Reynolds,Reynolds County,"0500000US29179.graphml",0.02847539199999999
0500000US06067,06067,Sacramento,Sacramento County,"0500000US06067.graphml",0.878669824
0500000US39125,39125,Paulding,Paulding County,"0500000US39125.graphml",0.033861632
0500000US18179,18179,Wells,Wells County,"0500000US18179.graphml",0.03679436800000002
0500000US51063,51063,Floyd,Floyd County,"0500000US51063.graphml",0.027394048000000004
0500000US06083,06083,Santa Barbara,Santa Barbara County,"0500000US06083.graphml",0.292417536
0500000US54005,54005,Boone,Boone County,"0500000US54005.graphml",0.032202752
0500000US28009,28009,Benton,Benton County,"0500000US28009.graphml",0.025329664
0500000US21055,21055,Crittenden,Crittenden County,"0500000US21055.graphml",0.021225471999999995
0500000US19147,19147,Palo Alto,Palo Alto County,"0500000US19147.graphml",0.03474227200000002
0500000US19159,19159,Ringgold,Ringgold County,"0500000US19159.graphml",0.024838144000000006
0500000US37151,37151,Randolph,Randolph County,"0500000US37151.graphml",0.14516224000000003
0500000US24015,24015,Cecil,Cecil County,"0500000US24015.graphml",0.097697792
0500000US18171,18171,Warren,Warren County,"0500000US18171.graphml",0.021082112000000014
0500000US31077,31077,Greeley,Greeley County,"0500000US31077.graphml",0.014913536000000005
0500000US31095,31095,Jefferson,Jefferson County,"0500000US31095.graphml",0.029708288
0500000US31151,31151,Saline,Saline County,"0500000US31151.graphml",0.043085823999999995
0500000US21119,21119,Knott,Knott County,"0500000US21119.graphml",0.023543808
0500000US19045,19045,Clinton,Clinton County,"0500000US19045.graphml",0.062619648
0500000US27063,27063,Jackson,Jackson County,"0500000US27063.graphml",0.04262707199999999
0500000US27039,27039,Dodge,Dodge County,"0500000US27039.graphml",0.03574169600000002
